Student_ID,Course_ID,Grade
S0082,C002,C
S0082,C003,C
S0082,C005,B
S0083,C005,A
S0083,C007,B
S0083,C004,B
S0084,C008,C
S0084,C001,D
S0084,C007,D
S0084,C005,D
S0085,C005,A
S0085,C001,C
S0085,C003,A
S0085,C009,A
S0085,C008,D
S0086,C008,A
S0086,C004,B
S0086,C001,D
S0086,C007,A
S0086,C009,C
S0087,C008,D
S0087,C002,C
S0087,C004,C
S0087,C001,C
S0087,C003,C
S0088,C004,B
S0088,C009,B
S0088,C005,B
S0089,C004,A
S0089,C001,A
S0089,C008,B
S0089,C007,A
S0089,C010,C
S0090,C002,C
S0090,C003,B
S0090,C001,A
S0090,C006,B
S0091,C010,A
S0091,C001,A
S0091,C007,C
S0091,C009,C
S0091,C003,D
S0092,C010,B
S0092,C009,A
S0092,C005,B
S0092,C003,A
S0093,C010,D
S0093,C008,A
S0093,C001,F
S0094,C008,F
S0094,C004,B
S0094,C009,A
S0094,C002,C
S0094,C005,A
S0095,C010,A
S0095,C004,C
S0095,C001,D
S0095,C003,B
S0095,C002,F
S0096,C009,A
S0096,C008,C
S0096,C001,B
S0097,C005,A
S0097,C002,A
S0097,C007,A
S0098,C002,B
S0098,C010,B
S0098,C005,B
S0098,C006,A
S0099,C007,D
S0099,C004,A
S0099,C010,C
S0099,C006,D
S0100,C002,C
S0100,C005,F
S0100,C003,C
S0100,C008,B
S0100,C007,B
S0101,C010,C
S0101,C002,D
S0101,C009,A
S0101,C003,A
S0101,C004,B
S0102,C008,D
S0102,C006,C
S0102,C003,A
S0102,C002,C
S0102,C001,C
S0103,C001,C
S0103,C008,A
S0103,C005,C
S0104,C006,C
S0104,C010,B
S0104,C002,B
S0104,C008,B
S0105,C002,B
S0105,C006,B
S0105,C004,B
S0106,C005,A
S0106,C002,B
S0106,C009,C
S0107,C007,C
S0107,C009,C
S0107,C004,D
S0107,C002,A
S0108,C001,B
S0108,C007,D
S0108,C005,A
S0109,C008,C
S0109,C003,D
S0109,C002,B
S0110,C003,B
S0110,C001,D
S0110,C006,A
S0111,C002,A
S0111,C010,A
S0111,C009,B
S0111,C008,C
S0111,C007,C
S0112,C009,B
S0112,C004,A
S0112,C010,A
S0112,C007,D
S0113,C007,D
S0113,C004,C
S0113,C008,B
S0113,C010,A
S0114,C008,B
S0114,C009,F
S0114,C001,B
S0114,C003,C
S0114,C002,F
S0115,C005,C
S0115,C001,A
S0115,C003,F
S0116,C001,C
S0116,C003,C
S0116,C008,A
S0116,C007,B
S0117,C008,B
S0117,C005,A
S0117,C009,A
S0117,C001,D
S0118,C001,C
S0118,C002,D
S0118,C006,D
S0118,C003,D
S0119,C010,B
S0119,C005,C
S0119,C003,F
S0119,C002,C
S0119,C007,B
S0120,C008,B
S0120,C004,B
S0120,C001,C
S0120,C006,B
S0121,C010,B
S0121,C002,A
S0121,C005,A
S0121,C008,C
S0121,C006,A
S0122,C008,B
S0122,C010,C
S0122,C006,C
S0123,C004,D
S0123,C005,A
S0123,C006,A
S0124,C004,A
S0124,C007,D
S0124,C006,B
S0124,C001,A
S0125,C004,B
S0125,C003,B
S0125,C002,B
S0125,C009,D
S0126,C009,B
S0126,C008,B
S0126,C007,C
S0127,C005,C
S0127,C006,C
S0127,C003,C
S0127,C001,C
S0127,C004,A
S0128,C009,C
S0128,C003,D
S0128,C007,B
S0129,C004,C
S0129,C005,B
S0129,C010,D
S0129,C003,D
S0130,C009,F
S0130,C010,C
S0130,C004,D
S0130,C002,A
S0131,C003,D
S0131,C004,A
S0131,C007,B
S0131,C002,A
S0131,C010,B
S0132,C010,A
S0132,C003,C
S0132,C001,D
S0132,C002,B
S0133,C001,A
S0133,C007,A
S0133,C002,D
S0133,C008,B
S0133,C009,C
S0134,C007,C
S0134,C008,B
S0134,C004,D
S0135,C001,A
S0135,C006,A
S0135,C004,B
S0135,C007,A
S0135,C009,B
S0136,C008,D
S0136,C002,A
S0136,C005,D
S0136,C009,C
S0136,C006,B
S0137,C010,B
S0137,C001,A
S0137,C009,D
S0137,C008,B
S0138,C004,C
S0138,C001,A
S0138,C006,B
S0139,C004,B
S0139,C005,A
S0139,C003,A
S0139,C002,A
S0139,C010,B
S0140,C008,B
S0140,C010,A
S0140,C002,A
S0141,C003,A
S0141,C001,A
S0141,C002,C
S0142,C008,B
S0142,C001,C
S0142,C002,C
S0143,C003,D
S0143,C007,F
S0143,C001,F
S0144,C006,B
S0144,C008,B
S0144,C005,B
S0144,C010,C
S0145,C009,C
S0145,C002,A
S0145,C001,B
S0145,C010,A
S0145,C006,B
S0146,C007,B
S0146,C001,D
S0146,C005,A
S0146,C008,C
S0147,C001,B
S0147,C006,C
S0147,C003,C
S0147,C007,C
S0147,C002,D
S0148,C007,B
S0148,C005,B
S0148,C009,D
S0148,C008,B
S0148,C001,B
S0149,C001,A
S0149,C010,C
S0149,C008,A
S0149,C006,F
S0150,C002,A
S0150,C007,C
S0150,C008,D
S0150,C009,A
S0151,C008,A
S0151,C007,C
S0151,C009,F
S0151,C003,C
S0152,C003,A
S0152,C009,A
S0152,C001,A
S0153,C010,A
S0153,C009,B
S0153,C002,A
S0153,C003,A
S0154,C005,A
S0154,C001,B
S0154,C008,A
S0155,C002,D
S0155,C007,A
S0155,C009,C
S0155,C003,C
S0155,C010,A
S0156,C001,F
S0156,C002,D
S0156,C010,B
S0157,C003,C
S0157,C009,D
S0157,C002,B
S0157,C008,B
S0158,C010,B
S0158,C009,C
S0158,C002,D
S0158,C004,A
S0158,C001,A
S0159,C006,A
S0159,C008,A
S0159,C005,B
S0159,C010,A
S0159,C003,D
S0160,C009,A
S0160,C008,D
S0160,C001,B
S0160,C004,C
S0160,C010,B
S0161,C003,A
S0161,C006,D
S0161,C007,B
S0162,C003,C
S0162,C004,C
S0162,C007,B
S0162,C001,B
S0163,C002,A
S0163,C003,C
S0163,C007,B
S0164,C004,B
S0164,C006,F
S0164,C008,B
S0164,C007,C
S0164,C003,F
S0165,C010,B
S0165,C009,B
S0165,C008,C
S0165,C005,C
S0165,C004,A
S0166,C005,D
S0166,C003,A
S0166,C002,C
S0167,C008,C
S0167,C006,B
S0167,C002,D
S0167,C003,A
S0167,C007,C
S0168,C001,C
S0168,C003,B
S0168,C006,A
S0169,C006,B
S0169,C008,C
S0169,C002,C
S0169,C009,B
S0169,C004,A
S0170,C002,C
S0170,C007,A
S0170,C001,A
S0171,C006,A
S0171,C009,A
S0171,C010,A
S0171,C004,C
S0171,C008,D
S0172,C002,C
S0172,C006,D
S0172,C008,B
S0172,C005,C
S0172,C001,F
S0173,C006,D
S0173,C003,B
S0173,C007,B
S0173,C008,A
S0174,C010,C
S0174,C002,B
S0174,C007,A
S0174,C009,B
S0174,C006,A
S0175,C004,B
S0175,C005,C
S0175,C008,C
S0175,C007,B
S0176,C006,A
S0176,C002,B
S0176,C010,C
S0177,C002,C
S0177,C003,F
S0177,C006,A
S0177,C009,A
S0177,C004,B
S0178,C005,C
S0178,C008,A
S0178,C004,A
S0179,C003,B
S0179,C008,A
S0179,C005,B
S0179,C004,C
S0179,C009,D
S0180,C008,A
S0180,C006,B
S0180,C009,F
S0181,C003,C
S0181,C002,D
S0181,C004,A
S0181,C008,A
S0181,C001,D
S0182,C005,C
S0182,C010,C
S0182,C009,C
S0182,C003,A
S0182,C008,C
S0183,C004,D
S0183,C006,B
S0183,C007,D
S0183,C002,B
S0183,C001,A
S0184,C009,F
S0184,C005,A
S0184,C002,B
S0185,C004,F
S0185,C009,B
S0185,C006,B
S0185,C003,B
S0186,C008,C
S0186,C001,A
S0186,C005,D
S0186,C002,B
S0187,C010,B
S0187,C002,C
S0187,C001,C
S0187,C007,B
S0188,C005,F
S0188,C001,B
S0188,C010,C
S0189,C003,A
S0189,C004,B
S0189,C006,B
S0189,C010,D
S0190,C004,D
S0190,C005,A
S0190,C006,F
S0190,C009,B
S0190,C008,B
S0191,C010,B
S0191,C003,B
S0191,C007,A
S0192,C006,D
S0192,C002,B
S0192,C005,B
S0193,C004,A
S0193,C006,B
S0193,C007,D
S0193,C001,C
S0194,C003,B
S0194,C008,C
S0194,C007,D
S0194,C009,F
S0195,C005,C
S0195,C004,A
S0195,C007,B
S0196,C005,B
S0196,C009,B
S0196,C004,C
S0196,C008,D
S0196,C010,B
S0197,C007,A
S0197,C010,A
S0197,C002,B
S0197,C001,B
S0198,C009,B
S0198,C004,C
S0198,C007,A
S0198,C002,B
S0198,C006,C
S0199,C004,A
S0199,C007,C
S0199,C006,D
S0199,C003,A
S0199,C010,B
S0200,C007,A
S0200,C004,A
S0200,C003,A
S0200,C008,F
S0200,C002,A
S0201,C008,B
S0201,C006,A
S0201,C002,A
S0202,C008,B
S0202,C010,C
S0202,C005,A
S0203,C005,B
S0203,C010,B
S0203,C002,A
S0203,C008,B
S0204,C003,B
S0204,C007,A
S0204,C008,B
S0205,C001,D
S0205,C002,F
S0205,C010,A
S0206,C005,B
S0206,C002,C
S0206,C008,D
S0206,C001,D
S0206,C009,D
S0207,C003,C
S0207,C005,A
S0207,C010,B
S0207,C004,A
S0208,C007,B
S0208,C009,D
S0208,C004,A
S0208,C010,D
S0208,C008,A
S0209,C010,F
S0209,C002,A
S0209,C007,C
S0210,C006,A
S0210,C001,B
S0210,C008,A
S0211,C008,C
S0211,C006,C
S0211,C010,A
S0212,C001,F
S0212,C006,C
S0212,C004,A
S0212,C008,F
S0213,C009,A
S0213,C010,A
S0213,C002,B
S0214,C006,A
S0214,C001,A
S0214,C007,A
S0215,C010,D
S0215,C009,B
S0215,C005,B
S0216,C005,B
S0216,C006,B
S0216,C002,B
S0216,C010,D
S0216,C009,A
S0217,C003,D
S0217,C007,B
S0217,C006,B
S0217,C010,C
S0218,C008,D
S0218,C004,A
S0218,C010,D
S0218,C002,D
S0219,C001,B
S0219,C004,B
S0219,C002,B
S0220,C010,D
S0220,C007,B
S0220,C005,F
S0220,C008,B
S0220,C006,B
S0221,C009,A
S0221,C008,B
S0221,C007,A
S0222,C001,B
S0222,C004,A
S0222,C006,B
S0223,C006,A
S0223,C005,C
S0223,C002,D
S0224,C004,B
S0224,C007,D
S0224,C002,A
S0224,C006,C
S0225,C009,C
S0225,C008,D
S0225,C005,C
S0226,C004,C
S0226,C003,D
S0226,C001,A
S0227,C004,B
S0227,C008,A
S0227,C009,A
S0227,C002,A
S0227,C007,A
S0228,C007,D
S0228,C004,C
S0228,C003,C
S0228,C005,B
S0228,C001,C
S0229,C009,B
S0229,C001,A
S0229,C004,A
S0229,C002,D
S0229,C007,D
S0230,C002,D
S0230,C008,C
S0230,C006,B
S0230,C004,B
S0230,C007,F
S0231,C009,D
S0231,C007,A
S0231,C004,C
S0231,C002,C
S0231,C008,B
S0232,C008,C
S0232,C010,A
S0232,C002,D
S0233,C009,B
S0233,C005,A
S0233,C004,C
S0234,C007,A
S0234,C006,A
S0234,C004,C
S0234,C010,A
S0235,C005,F
S0235,C003,A
S0235,C008,A
S0236,C003,C
S0236,C005,A
S0236,C001,D
S0236,C006,B
S0236,C010,C
S0237,C001,F
S0237,C010,B
S0237,C002,D
S0238,C008,B
S0238,C001,A
S0238,C006,A
S0238,C009,A
S0238,C005,B
S0239,C010,A
S0239,C003,D
S0239,C005,B
S0240,C005,B
S0240,C003,D
S0240,C007,B
S0240,C009,D
S0240,C001,B
S0241,C010,A
S0241,C005,C
S0241,C009,C
S0242,C006,D
S0242,C004,D
S0242,C002,A
S0242,C003,C
S0242,C007,C
S0243,C003,A
S0243,C002,C
S0243,C005,B
S0244,C010,F
S0244,C001,A
S0244,C003,A
S0244,C005,A
S0245,C007,F
S0245,C003,C
S0245,C006,D
S0246,C002,B
S0246,C007,A
S0246,C003,A
S0246,C010,C
S0246,C004,B
S0247,C003,B
S0247,C006,B
S0247,C001,A
S0247,C005,C
S0248,C008,B
S0248,C006,C
S0248,C001,F
S0248,C009,A
S0249,C005,D
S0249,C007,D
S0249,C001,C
S0250,C005,A
S0250,C010,C
S0250,C009,D
S0251,C010,A
S0251,C008,A
S0251,C002,C
S0251,C005,A
S0251,C004,B
S0252,C006,F
S0252,C003,B
S0252,C002,A
S0252,C010,F
S0253,C004,C
S0253,C003,B
S0253,C007,C
S0253,C010,A
S0254,C008,B
S0254,C004,A
S0254,C007,B
S0254,C006,C
S0255,C002,F
S0255,C008,F
S0255,C001,B
S0255,C009,B
S0256,C002,D
S0256,C001,B
S0256,C009,B
S0256,C008,A
S0256,C005,B
S0257,C003,F
S0257,C008,C
S0257,C010,A
S0257,C009,A
S0258,C004,B
S0258,C010,C
S0258,C001,B
S0259,C005,A
S0259,C001,C
S0259,C010,B
S0260,C001,B
S0260,C006,B
S0260,C004,C
S0260,C003,A
S0261,C006,D
S0261,C005,D
S0261,C008,A
S0261,C001,B
S0261,C009,B
S0262,C005,C
S0262,C001,C
S0262,C007,C
S0262,C004,B
S0262,C003,B
S0263,C004,B
S0263,C008,A
S0263,C009,A
S0263,C002,D
S0264,C002,B
S0264,C010,D
S0264,C003,C
S0264,C006,C
S0265,C003,D
S0265,C005,B
S0265,C006,A
S0266,C009,A
S0266,C005,A
S0266,C001,D
S0266,C008,D
S0267,C009,B
S0267,C010,F
S0267,C007,C
S0267,C003,C
S0268,C007,B
S0268,C010,F
S0268,C005,C
S0269,C009,A
S0269,C007,A
S0269,C004,C
S0269,C006,C
S0269,C002,B
S0270,C005,C
S0270,C009,C
S0270,C001,F
S0270,C004,A
S0271,C005,D
S0271,C009,A
S0271,C008,D
S0271,C001,A
S0272,C009,A
S0272,C007,B
S0272,C005,A
S0272,C010,C
S0273,C001,B
S0273,C006,B
S0273,C009,A
S0273,C008,B
S0274,C004,B
S0274,C010,B
S0274,C008,A
S0274,C003,D
S0274,C001,A
S0275,C004,D
S0275,C005,D
S0275,C008,B
S0275,C003,A
S0276,C006,D
S0276,C003,B
S0276,C004,B
S0276,C001,B
S0276,C002,A
S0277,C006,D
S0277,C002,B
S0277,C005,A
S0277,C004,B
S0278,C006,A
S0278,C009,C
S0278,C004,A
S0278,C005,B
S0279,C003,D
S0279,C010,B
S0279,C005,D
S0279,C008,B
S0280,C006,A
S0280,C008,F
S0280,C005,B
S0280,C010,A
S0280,C003,A
S0281,C001,B
S0281,C008,B
S0281,C007,C
S0281,C006,A
S0281,C009,B
S0282,C004,B
S0282,C007,B
S0282,C005,B
S0282,C006,B
S0282,C009,B
S0283,C009,C
S0283,C008,A
S0283,C006,B
S0284,C005,D
S0284,C009,A
S0284,C007,A
S0284,C004,C
S0285,C010,B
S0285,C005,B
S0285,C006,B
S0285,C004,B
S0286,C001,A
S0286,C009,A
S0286,C007,A
S0287,C009,F
S0287,C008,C
S0287,C010,B
S0287,C002,D
S0287,C004,B
S0288,C005,A
S0288,C009,C
S0288,C004,C
S0289,C005,D
S0289,C006,B
S0289,C001,C
S0290,C003,A
S0290,C010,A
S0290,C006,C
S0291,C008,D
S0291,C004,A
S0291,C006,B
S0292,C007,A
S0292,C006,A
S0292,C008,C
S0293,C010,F
S0293,C003,A
S0293,C002,A
S0294,C006,A
S0294,C010,B
S0294,C004,A
S0294,C001,D
S0295,C007,F
S0295,C002,C
S0295,C001,A
S0295,C010,F
S0296,C009,A
S0296,C003,A
S0296,C006,B
S0297,C008,A
S0297,C006,D
S0297,C004,D
S0297,C002,A
S0298,C001,A
S0298,C006,A
S0298,C010,C
S0298,C009,A
S0299,C009,B
S0299,C002,B
S0299,C004,B
S0299,C001,A
S0300,C002,A
S0300,C001,D
S0300,C010,B
S0301,C004,D
S0301,C005,B
S0301,C008,B
S0301,C002,A
S0301,C001,B
S0302,C003,D
S0302,C005,C
S0302,C004,A
S0302,C001,B
S0303,C006,B
S0303,C010,A
S0303,C007,B
S0303,C002,A
S0303,C008,A
S0304,C007,B
S0304,C002,A
S0304,C001,F
S0304,C003,A
S0305,C006,A
S0305,C005,A
S0305,C001,C
S0305,C010,A
S0305,C009,B
S0306,C005,B
S0306,C003,B
S0306,C008,D
S0307,C008,F
S0307,C002,B
S0307,C005,B
S0307,C004,F
S0307,C009,C
S0308,C003,D
S0308,C009,A
S0308,C005,A
S0309,C009,C
S0309,C006,C
S0309,C003,B
S0309,C004,A
S0309,C008,A
S0310,C001,D
S0310,C006,C
S0310,C005,F
S0310,C008,D
S0311,C005,F
S0311,C006,B
S0311,C004,D
S0312,C006,B
S0312,C004,D
S0312,C007,F
S0312,C001,B
S0313,C009,A
S0313,C006,A
S0313,C004,C
S0313,C008,A
S0313,C002,A
S0314,C007,A
S0314,C005,B
S0314,C006,A
S0314,C003,C
S0314,C002,B
S0315,C006,A
S0315,C008,F
S0315,C007,D
S0315,C004,A
S0316,C010,D
S0316,C004,A
S0316,C008,A
S0317,C007,A
S0317,C002,D
S0317,C009,C
S0317,C008,B
S0317,C005,C
S0318,C003,A
S0318,C008,A
S0318,C009,B
S0319,C002,B
S0319,C010,C
S0319,C007,A
S0319,C005,D
S0319,C006,C
S0320,C004,C
S0320,C002,B
S0320,C005,B
S0321,C006,C
S0321,C003,C
S0321,C007,D
S0322,C004,B
S0322,C009,C
S0322,C010,C
S0322,C001,A
S0323,C009,A
S0323,C003,A
S0323,C002,D
S0323,C007,A
S0324,C009,C
S0324,C005,B
S0324,C007,B
S0325,C001,B
S0325,C008,B
S0325,C007,A
S0326,C004,A
S0326,C009,D
S0326,C003,D
S0326,C008,C
S0326,C010,C
S0327,C007,A
S0327,C008,D
S0327,C006,B
S0328,C004,A
S0328,C008,A
S0328,C006,C
S0329,C003,A
S0329,C004,A
S0329,C006,D
S0329,C009,A
S0329,C002,A
S0330,C003,D
S0330,C002,C
S0330,C010,B
S0330,C009,A
S0330,C006,A
S0331,C006,B
S0331,C002,D
S0331,C005,F
S0332,C005,B
S0332,C006,B
S0332,C004,D
S0333,C003,B
S0333,C001,A
S0333,C005,A
S0333,C006,C
S0334,C005,A
S0334,C001,B
S0334,C002,D
S0335,C004,A
S0335,C010,A
S0335,C005,D
S0335,C009,A
S0335,C008,A
S0336,C008,B
S0336,C007,F
S0336,C006,B
S0336,C003,C
S0336,C009,A
S0337,C008,A
S0337,C004,A
S0337,C009,C
S0337,C002,B
S0338,C008,C
S0338,C006,B
S0338,C005,B
S0339,C001,C
S0339,C005,A
S0339,C004,D
S0339,C003,C
S0339,C006,D
S0340,C001,C
S0340,C002,A
S0340,C004,D
S0340,C009,C
S0341,C005,A
S0341,C008,A
S0341,C002,C
S0341,C007,C
S0341,C004,A
S0342,C003,B
S0342,C002,B
S0342,C009,A
S0342,C001,B
S0343,C004,B
S0343,C007,B
S0343,C001,B
S0343,C010,D
S0344,C009,D
S0344,C003,B
S0344,C004,A
S0344,C010,C
S0345,C006,C
S0345,C004,A
S0345,C007,B
S0345,C008,F
S0346,C007,B
S0346,C003,F
S0346,C001,D
S0346,C009,B
S0347,C008,A
S0347,C004,A
S0347,C006,F
S0347,C001,A
S0348,C002,B
S0348,C010,D
S0348,C008,B
S0348,C003,B
S0349,C010,B
S0349,C002,D
S0349,C006,D
S0350,C007,B
S0350,C003,A
S0350,C006,C
S0351,C006,B
S0351,C009,C
S0351,C003,B
S0351,C007,D
S0352,C010,C
S0352,C007,A
S0352,C001,F
S0352,C003,F
S0353,C006,D
S0353,C007,A
S0353,C005,A
S0353,C002,D
S0353,C004,C
S0354,C005,B
S0354,C010,B
S0354,C007,A
S0354,C002,C
S0355,C007,A
S0355,C006,B
S0355,C004,A
S0356,C009,B
S0356,C010,B
S0356,C004,B
S0356,C006,B
S0356,C005,A
S0357,C004,D
S0357,C001,B
S0357,C003,F
S0357,C010,A
S0358,C005,A
S0358,C009,B
S0358,C007,C
S0359,C005,A
S0359,C007,A
S0359,C006,C
S0359,C004,C
S0359,C008,A
S0360,C005,B
S0360,C003,C
S0360,C008,B
S0360,C010,F
S0361,C008,B
S0361,C003,A
S0361,C004,A
S0361,C005,C
S0361,C010,A
S0362,C007,B
S0362,C001,B
S0362,C005,A
S0363,C002,A
S0363,C009,A
S0363,C004,A
S0363,C003,C
S0363,C006,A
S0364,C003,A
S0364,C006,B
S0364,C004,A
S0365,C003,C
S0365,C004,F
S0365,C007,C
S0366,C009,D
S0366,C005,B
S0366,C004,B
S0367,C008,B
S0367,C001,C
S0367,C006,D
S0367,C003,B
S0367,C007,C
S0368,C006,A
S0368,C003,B
S0368,C009,D
S0368,C008,A
S0368,C005,A
S0369,C003,F
S0369,C008,B
S0369,C004,A
S0369,C010,B
S0370,C006,D
S0370,C010,A
S0370,C003,B
S0371,C006,A
S0371,C002,F
S0371,C007,C
S0371,C008,A
S0372,C006,D
S0372,C005,C
S0372,C010,A
S0372,C007,D
S0372,C009,A
S0373,C001,A
S0373,C006,B
S0373,C010,B
S0373,C007,D
S0373,C002,C
S0374,C005,C
S0374,C009,A
S0374,C006,C
S0374,C010,C
S0375,C005,B
S0375,C003,A
S0375,C001,A
S0375,C007,C
S0376,C005,F
S0376,C001,C
S0376,C007,F
S0376,C006,A
S0377,C003,A
S0377,C005,A
S0377,C002,A
S0377,C009,C
S0377,C008,C
S0378,C008,A
S0378,C006,A
S0378,C007,B
S0378,C010,D
S0378,C005,A
S0379,C010,A
S0379,C003,C
S0379,C004,A
S0379,C006,D
S0380,C003,A
S0380,C004,B
S0380,C010,A
S0380,C009,B
S0380,C001,A
S0381,C002,B
S0381,C006,A
S0381,C004,C
S0381,C003,A
S0381,C005,B
S0382,C004,B
S0382,C010,A
S0382,C003,D
S0382,C005,B
S0382,C007,B
S0383,C009,A
S0383,C002,A
S0383,C001,B
S0383,C005,B
S0383,C003,F
S0384,C003,A
S0384,C006,B
S0384,C009,B
S0384,C002,B
S0385,C005,D
S0385,C010,D
S0385,C006,A
S0386,C004,F
S0386,C002,B
S0386,C005,A
S0387,C003,D
S0387,C009,D
S0387,C007,A
S0387,C001,C
S0388,C009,A
S0388,C004,D
